0,1,2,3
R49,HO2,R403,OH
R49,HO2,R445,OH
R49,HO2,R449,OH
R49,HO2,R453,OH
R49,HO2,R461,OH
R49,HO2,R468,OH
R49,HO2,R469,OH
R49,HO2,R474,OH
R49,HO2,R476,OH
R49,HO2,R488,OH
R49,HO2,R492,OH
R49,HO2,R497,OH
R49,HO2,R500,OH
R49,HO2,R507,OH
R49,HO2,R534,OH
R49,HO2,R535,OH
R49,HO2,R543,OH
R49,HO2,R546,OH
R49,HO2,R559,OH
R49,HO2,R562,OH
R49,HO2,R570,OH
R49,HO2,R573,OH
R49,HO2,R574,OH
R49,HO2,R581,OH
R49,HO2,R633,OH
R50,HO2,R15,OH
R50,HO2,R22,OH
R50,HO2,R44,OH
R50,HO2,R89,OH
R50,HO2,R90,OH
R50,HO2,R113,OH
R50,HO2,R204,OH
R50,HO2,R216,OH
R50,HO2,R401,OH
R50,HO2,R403,OH
R50,HO2,R445,OH
R50,HO2,R449,OH
R50,HO2,R453,OH
R50,HO2,R461,OH
R50,HO2,R468,OH
R50,HO2,R469,OH
R50,HO2,R474,OH
R50,HO2,R476,OH
R50,HO2,R488,OH
R50,HO2,R492,OH
R50,HO2,R497,OH
R50,HO2,R500,OH
R50,HO2,R507,OH
R50,HO2,R534,OH
R50,HO2,R535,OH
R50,HO2,R543,OH
R50,HO2,R546,OH
R50,HO2,R559,OH
R50,HO2,R562,OH
R50,HO2,R570,OH
R50,HO2,R573,OH
R50,HO2,R574,OH
R50,HO2,R581,OH
R50,HO2,R633,OH
R52,HO2,R89,CH2O
R52,HO2,R401,CH2O
R52,HO2,R403,CH2O
R52,HO2,R445,CH2O
R52,HO2,R449,CH2O
R52,HO2,R469,CH2O
R52,HO2,R488,CH2O
R52,HO2,R492,CH2O
R52,HO2,R497,CH2O
R52,HO2,R500,CH2O
R52,HO2,R507,CH2O
R52,HO2,R534,CH2O
R52,HO2,R535,CH2O
R52,HO2,R570,CH2O
R52,HO2,R573,CH2O
R52,HO2,R574,CH2O
R53,HO2,R15,OH
R53,HO2,R22,OH
R53,HO2,R44,OH
R53,HO2,R89,OH
R53,HO2,R90,ALD2
R53,HO2,R90,OH
R53,HO2,R113,OH
R53,HO2,R204,OH
R53,HO2,R216,OH
R53,HO2,R401,OH
R53,HO2,R403,OH
R53,HO2,R445,OH
R53,HO2,R449,OH
R53,HO2,R453,OH
R53,HO2,R461,OH
R53,HO2,R468,OH
R53,HO2,R469,OH
R53,HO2,R474,OH
R53,HO2,R476,OH
R53,HO2,R488,OH
R53,HO2,R492,OH
R53,HO2,R497,OH
R53,HO2,R500,OH
R53,HO2,R507,OH
R53,HO2,R534,OH
R53,HO2,R535,OH
R53,HO2,R543,OH
R53,HO2,R546,OH
R53,HO2,R559,OH
R53,HO2,R562,OH
R53,HO2,R570,OH
R53,HO2,R573,OH
R53,HO2,R574,OH
R53,HO2,R581,OH
R53,HO2,R633,OH
R61,HO2,R113,OTHRO2
R64,HO2,R113,A3O2
R73,HO2,R113,B3O2
R85,HO2,R113,A3O2
R85,HO2,R574,MO2
R86,HO2,R574,MO2
R94,HO2,R574,MO2
R95,HO2,R113,OTHRO2
R95,HO2,R574,MO2
R97,HO2,R574,MO2
R98,HO2,R574,MO2
R99,HO2,R574,MO2
R100,HO2,R574,MO2
R101,HO2,R113,B3O2
R101,HO2,R574,MO2
R102,HO2,R574,MO2
R104,HO2,R15,OH
R104,HO2,R22,OH
R104,HO2,R44,OH
R104,HO2,R89,OH
R104,HO2,R90,OH
R104,HO2,R113,OH
R104,HO2,R204,OH
R104,HO2,R216,OH
R104,HO2,R401,OH
R104,HO2,R403,OH
R104,HO2,R445,OH
R104,HO2,R449,OH
R104,HO2,R453,OH
R104,HO2,R461,OH
R104,HO2,R468,OH
R104,HO2,R469,OH
R104,HO2,R474,OH
R104,HO2,R476,OH
R104,HO2,R488,OH
R104,HO2,R492,OH
R104,HO2,R497,OH
R104,HO2,R500,OH
R104,HO2,R507,OH
R104,HO2,R534,OH
